oui,company_name,address1,address2,country
6c:2b:59,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
c8:f7:50,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
48:5a:0d,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
d0:8e:79,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
b4:45:06,Dell Inc.,One Dell Way,Round Rock   TX  78682,US
04:bf:1b,Dell Inc.,One Dell Way,Round Rock   TX  78682,US
f8:0d:a9,Zyxel Communications Corporation,"No. 6 Innovation Road II, Science Park",Hsichu  Taiwan  300,TW
98:e7:43,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
18:5a:58,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
e0:d8:48,Dell Inc.,One Dell Way,Round Rock  TX  78682,US
ac:91:9b,Wistron Neweb Corporation,"No.20,Park Avenue II,Hsinchu Science Park",Hsin-Chu  R.O.C.  308,TW
e0:3c:1c,IEEE Registration Authority,445 Hoes Lane,Piscataway  NJ  08554,US
00:09:93,Visteon Corporation,16630 Southfield Road,Allen Park  Michigan  48101,US
ec:41:ca,"Shenzhen TecAnswer Technology co.,ltd","1004 yuemeite Building,No.1 gaoxin South 7th Road,Gaoxin District,Yuehai Street,Nanshan District,Shenzhen",Shenzhen  Guangdong  518063,CN
14:84:77,"New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District",Hangzhou  Zhejiang  310052,CN
14:96:2d,"New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District",Hangzhou  Zhejiang  310052,CN
c4:a6:4e,"Quectel Wireless Solutions Co.,Ltd.","7th Floor, Hongye Building, No.1801 Hongmei Road, Xuhui District",Shanghai    200233,CN
d8:58:c6,Katch Asset Tracking Pty Limited,98 Riley St,Darlinghurst   NSW  2010,AU
2c:c6:a0,Lumacron Technology Ltd.,"4 Pitreavie Court, Pitreavie Business Park",Dunfermline  Fife  KY11 8UU,GB
70:66:b9,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone",Dongguan  Guangdong  523808,CN
c4:a1:ae,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone",Dongguan  Guangdong  523808,CN
48:6f:33,"KYUNGWOO.SYSTEM, INC.","68, Digital-ro 9-gil, Geumcheon-gu, Seoul, Republic of Korea",Seoul    08512,KR
08:61:95,Rockwell Automation,1 Allen-Bradley Dr.,Mayfield Heights  OH  44124-6118,US
24:bb:c9,"Shenzhen SuperElectron Technology Co.,Ltd.","1213-1214, haosheng business center, dongbin road, nanshan street, nanshan district, shenzhen city",Shenzhen  Guangdong  518000,CN
00:00:bc,Rockwell Automation,1 Allen-Bradley Dr.,Mayfield Heights  OH  44124-6118,US
fc:d7:49,Amazon Technologies Inc.,P.O Box 8102,Reno  NV  89507,US
2c:96:82,MitraStar Technology Corp.,"No. 6, Innovation Road II,",Hsinchu    300,TW
a8:71:16,Earda Technologies co Ltd,"Block A,Lianfeng Creative Park, #2 Jisheng Rd., Nansha District",Guangzhou  Guangdong  511455,CN
e8:eb:dd,"Guangzhou Qingying Acoustics Technology Co., Ltd","Room 905, 863 Industrialization Promotion Center, Guangzhou Private Science Park, Taihe Town, Baiyun District",Guangzhou  Guangdong  510000,CN
54:8c:81,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
24:48:45,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
00:50:ca,DZS Inc.,680 CENTRAL AVENUE - STE. #301,DOVER  NH  03820,US
74:ee:8d,"Apollo Intelligent Connectivity (Beijing) Technology Co., Ltd.",Baidu Technology Park Building No.2 No.10 Xibeiwang East Road Haidian District,BeiJing  BeiJing  100193,CN
00:03:51,Diebold Nixdorf,5995 Mayfair Road,North Canton  OH  44720,US
f0:9f:c2,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
80:2a:a8,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
ec:c8:9c,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
8c:e7:48,"Hangzhou Hikvision Digital Technology Co.,Ltd.","No.469,Jianghui Road",Hangzhou  Zhejiang  310052,CN
24:28:fd,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
ac:b9:2f,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
d4:e8:53,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
24:0f:9b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
c0:6d:ed,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
24:32:ae,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
e0:ba:ad,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
e0:ca:3c,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
dc:07:f8,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
64:db:8b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
94:e1:ac,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
58:03:fb,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
44:47:cc,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
98:df:82,"Hangzhou Hikvision Digital Technology Co.,Ltd.",No.555 Qianmo Road,Hangzhou  Zhejiang  310052,CN
78:8a:20,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
74:83:c2,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
e0:63:da,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
24:5a:4c,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
60:22:32,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
e4:38:83,Ubiquiti Inc,"685 Third Avenue, 27th Floor",New York  NY  New York NY 10017,US
c0:56:e3,"Hangzhou Hikvision Digital Technology Co.,Ltd.","No.469,Jianghui Road",Hangzhou  Zhejiang  310052,CN
bc:ad:28,"Hangzhou Hikvision Digital Technology Co.,Ltd.","No.469,Jianghui Road",Hangzhou  Zhejiang  310052,CN
88:b6:bd,"Flaircomm Microelectronics, Inc.","7F, Guomai Building, Guomai Science and Technology Park,116 Jiangbin East Avenue, Mawei District",Fuzhou  Fujian  350015,CN
bc:49:b2,"SHENZHEN ALONG COMMUNICATION TECH CO., LTD","Room1301,ZHENYEInternationalBusinessCenter,QIANHAIRoad,NANSHAN District,SHENZHEN,PRCTEL",SHENZHEN    518000,CN
94:97:ae,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,",DONG GUAN  GUANG DONG  523860,CN
0c:bd:75,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,",DONG GUAN  GUANG DONG  523860,CN
ac:90:73,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
fc:1d:3a,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
e4:be:fb,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
58:f8:d7,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808,CN
40:a6:77,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
d8:18:d3,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
f0:4b:3a,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
c0:42:d0,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
00:1b:c0,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
44:ec:ce,Juniper Networks,1133 Innovation Way,Sunnyvale  CA  94089,US
