characteristic_uuid,characteristic_name
0000110f-0000-1000-8000-00805f9b34fb,Video Conferencing
00001110-0000-1000-8000-00805f9b34fb,Intercom
00001111-0000-1000-8000-00805f9b34fb,FAX
00001112-0000-1000-8000-00805f9b34fb,Headset Profile (HSP) - Audio Gateway
00001113-0000-1000-8000-00805f9b34fb,WAP
00001114-0000-1000-8000-00805f9b34fb,WAP Client
00001115-0000-1000-8000-00805f9b34fb,PANU
00001116-0000-1000-8000-00805f9b34fb,NAP
00001117-0000-1000-8000-00805f9b34fb,GN
00001118-0000-1000-8000-00805f9b34fb,Direct Printing
00001119-0000-1000-8000-00805f9b34fb,Reference Printing
0000111a-0000-1000-8000-00805f9b34fb,Imaging
0000111b-0000-1000-8000-00805f9b34fb,Imaging Responder
0000111c-0000-1000-8000-00805f9b34fb,Imaging Automatic Archive
0000111d-0000-1000-8000-00805f9b34fb,Imaging Reference Objects
0000111e-0000-1000-8000-00805f9b34fb,Hands Free Profile (HFP) - Headset
0000111f-0000-1000-8000-00805f9b34fb,Hands Free Profile (HFP) - Audio Gateway
00001120-0000-1000-8000-00805f9b34fb,Direct Printing Reference Objects
00001121-0000-1000-8000-00805f9b34fb,Reflected UI
00001122-0000-1000-8000-00805f9b34fb,Basic Printing
00001123-0000-1000-8000-00805f9b34fb,Printing Status
00001124-0000-1000-8000-00805f9b34fb,HID
00001125-0000-1000-8000-00805f9b34fb,Hardcopy Cable Replacement
00001126-0000-1000-8000-00805f9b34fb,HCR Print
00001127-0000-1000-8000-00805f9b34fb,HCR Scan
00001128-0000-1000-8000-00805f9b34fb,Common ISDN Access
00001129-0000-1000-8000-00805f9b34fb,Video Conferencing Gateway
0000112a-0000-1000-8000-00805f9b34fb,UDIMT
0000112b-0000-1000-8000-00805f9b34fb,UDITA
0000112c-0000-1000-8000-00805f9b34fb,Audio Video
0000112d-0000-1000-8000-00805f9b34fb,SIM Access
0000112e-0000-1000-8000-00805f9b34fb,OBEX PCE
0000112f-0000-1000-8000-00805f9b34fb,OBEX PSE
00001130-0000-1000-8000-00805f9b34fb,OBEX PBAP
00001132-0000-1000-8000-00805f9b34fb,OBEX MAS
00001133-0000-1000-8000-00805f9b34fb,OBEX MNS
00001134-0000-1000-8000-00805f9b34fb,OBEX MAP
00001200-0000-1000-8000-00805f9b34fb,PNP
00001201-0000-1000-8000-00805f9b34fb,Generic Networking
00001202-0000-1000-8000-00805f9b34fb,Generic File Transfer
00001203-0000-1000-8000-00805f9b34fb,Generic Audio
00001204-0000-1000-8000-00805f9b34fb,Generic Telephony
00001205-0000-1000-8000-00805f9b34fb,UPNP
00001206-0000-1000-8000-00805f9b34fb,UPNP IP
00001300-0000-1000-8000-00805f9b34fb,ESDP UPnP IP PAN
00001301-0000-1000-8000-00805f9b34fb,ESDP UPnP IP LAP
00001302-0000-1000-8000-00805f9b34fb,ESDP Upnp L2CAP
00001303-0000-1000-8000-00805f9b34fb,Video Distribution Profile (VDP) - Source
00001304-0000-1000-8000-00805f9b34fb,Video Distribution Profile (VDP) - Sink
00001305-0000-1000-8000-00805f9b34fb,Video Distribution Profile (VDP)
00001400-0000-1000-8000-00805f9b34fb,Health Device Profile (HDP)
00001401-0000-1000-8000-00805f9b34fb,Health Device Profile (HDP) - Source
00001402-0000-1000-8000-00805f9b34fb,Health Device Profile (HDP) - Sink
00001530-1212-efde-1523-785feabcd123,Nordic DFU Service
00001531-1212-efde-1523-785feabcd123,Nordic DFU Control Point
00001532-1212-efde-1523-785feabcd123,Nordic DFU Packet
00001800-0000-1000-8000-00805f9b34fb,Generic Access
00001801-0000-1000-8000-00805f9b34fb,Generic Attribute
00001802-0000-1000-8000-00805f9b34fb,IMMEDIATE_ALERT
00001803-0000-1000-8000-00805f9b34fb,LINK_LOSS
00001804-0000-1000-8000-00805f9b34fb,TX_POWER
00001805-0000-1000-8000-00805f9b34fb,Current Time Service
00001806-0000-1000-8000-00805f9b34fb,Reference Time Update Service
00001807-0000-1000-8000-00805f9b34fb,Next DST Change Service
00001808-0000-1000-8000-00805f9b34fb,Glucose
00001809-0000-1000-8000-00805f9b34fb,Health Thermometer
0000180a-0000-1000-8000-00805f9b34fb,GC_DEVICE_INFORMATION
0000180b-0000-1000-8000-00805f9b34fb,Network Availability
0000180c-0000-1000-8000-00805f9b34fb,Watchdog
0000180d-0000-1000-8000-00805f9b34fb,HEART_RATE
0000180e-0000-1000-8000-00805f9b34fb,Phone Alert Status Service
0000180f-0000-1000-8000-00805f9b34fb,Battery Service
00001810-0000-1000-8000-00805f9b34fb,Blood Pressure
00001811-0000-1000-8000-00805f9b34fb,Alert Notification Service
00001812-0000-1000-8000-00805f9b34fb,Human Interface Device
00001813-0000-1000-8000-00805f9b34fb,Scan Parameters
00001814-0000-1000-8000-00805f9b34fb,Running Speed and Cadence
00001815-0000-1000-8000-00805f9b34fb,Automation IO
00001816-0000-1000-8000-00805f9b34fb,CYCLING_SC
00001818-0000-1000-8000-00805f9b34fb,Cycling Power
00001819-0000-1000-8000-00805f9b34fb,Location and Navigation
0000181a-0000-1000-8000-00805f9b34fb,Environmental Sensing
0000181b-0000-1000-8000-00805f9b34fb,Body Composition
0000181c-0000-1000-8000-00805f9b34fb,User Data
0000181d-0000-1000-8000-00805f9b34fb,Weight Scale
0000181e-0000-1000-8000-00805f9b34fb,Bond Management
0000181f-0000-1000-8000-00805f9b34fb,Continuous Glucose Monitoring
00001820-0000-1000-8000-00805f9b34fb,Internet Protocol Support
00002700-0000-1000-8000-00805f9b34fb,unitless
00002701-0000-1000-8000-00805f9b34fb,length (metre)
00002702-0000-1000-8000-00805f9b34fb,mass (kilogram)
00002703-0000-1000-8000-00805f9b34fb,time (second)
00002704-0000-1000-8000-00805f9b34fb,electric current (ampere)
00002705-0000-1000-8000-00805f9b34fb,thermodynamic temperature (kelvin)
00002706-0000-1000-8000-00805f9b34fb,amount of substance (mole)
00002707-0000-1000-8000-00805f9b34fb,luminous intensity (candela)
00002710-0000-1000-8000-00805f9b34fb,area (square metres)
00002711-0000-1000-8000-00805f9b34fb,volume (cubic metres)
00002712-0000-1000-8000-00805f9b34fb,velocity (metres per second)
00002713-0000-1000-8000-00805f9b34fb,acceleration (metres per second squared)
00002714-0000-1000-8000-00805f9b34fb,wavenumber (reciprocal metre)
00002715-0000-1000-8000-00805f9b34fb,density (kilogram per cubic metre)
00002716-0000-1000-8000-00805f9b34fb,surface density (kilogram per square metre)
00002717-0000-1000-8000-00805f9b34fb,specific volume (cubic metre per kilogram)
00002718-0000-1000-8000-00805f9b34fb,current density (ampere per square metre)
00002719-0000-1000-8000-00805f9b34fb,magnetic field strength (ampere per metre)
0000271a-0000-1000-8000-00805f9b34fb,amount concentration (mole per cubic metre)
0000271b-0000-1000-8000-00805f9b34fb,mass concentration (kilogram per cubic metre)
0000271c-0000-1000-8000-00805f9b34fb,luminance (candela per square metre)
0000271d-0000-1000-8000-00805f9b34fb,refractive index
0000271e-0000-1000-8000-00805f9b34fb,relative permeability
00002720-0000-1000-8000-00805f9b34fb,plane angle (radian)
00002721-0000-1000-8000-00805f9b34fb,solid angle (steradian)
00002722-0000-1000-8000-00805f9b34fb,frequency (hertz)
00002723-0000-1000-8000-00805f9b34fb,force (newton)
00002724-0000-1000-8000-00805f9b34fb,pressure (pascal)
00002725-0000-1000-8000-00805f9b34fb,energy (joule)
00002726-0000-1000-8000-00805f9b34fb,power (watt)
00002727-0000-1000-8000-00805f9b34fb,electric charge (coulomb)
00002728-0000-1000-8000-00805f9b34fb,electric potential difference (volt)
00002729-0000-1000-8000-00805f9b34fb,capacitance (farad)
0000272a-0000-1000-8000-00805f9b34fb,electric resistance (ohm)
0000272b-0000-1000-8000-00805f9b34fb,electric conductance (siemens)
0000272c-0000-1000-8000-00805f9b34fb,magnetic flux (weber)
0000272d-0000-1000-8000-00805f9b34fb,magnetic flux density (tesla)
0000272e-0000-1000-8000-00805f9b34fb,inductance (henry)
0000272f-0000-1000-8000-00805f9b34fb,Celsius temperature (degree Celsius)
00002730-0000-1000-8000-00805f9b34fb,luminous flux (lumen)
00002731-0000-1000-8000-00805f9b34fb,illuminance (lux)
00002732-0000-1000-8000-00805f9b34fb,activity referred to a radionuclide (becquerel)
00002733-0000-1000-8000-00805f9b34fb,absorbed dose (gray)
00002734-0000-1000-8000-00805f9b34fb,dose equivalent (sievert)
00002735-0000-1000-8000-00805f9b34fb,catalytic activity (katal)
00002740-0000-1000-8000-00805f9b34fb,dynamic viscosity (pascal second)
00002741-0000-1000-8000-00805f9b34fb,moment of force (newton metre)
00002742-0000-1000-8000-00805f9b34fb,surface tension (newton per metre)
00002743-0000-1000-8000-00805f9b34fb,angular velocity (radian per second)
00002744-0000-1000-8000-00805f9b34fb,angular acceleration (radian per second squared)
00002745-0000-1000-8000-00805f9b34fb,heat flux density (watt per square metre)
00002746-0000-1000-8000-00805f9b34fb,heat capacity (joule per kelvin)
00002747-0000-1000-8000-00805f9b34fb,specific heat capacity (joule per kilogram kelvin)
00002748-0000-1000-8000-00805f9b34fb,specific energy (joule per kilogram)
00002749-0000-1000-8000-00805f9b34fb,thermal conductivity (watt per metre kelvin)
0000274a-0000-1000-8000-00805f9b34fb,energy density (joule per cubic metre)
0000274b-0000-1000-8000-00805f9b34fb,electric field strength (volt per metre)
0000274c-0000-1000-8000-00805f9b34fb,electric charge density (coulomb per cubic metre)
0000274d-0000-1000-8000-00805f9b34fb,surface charge density (coulomb per square metre)
0000274e-0000-1000-8000-00805f9b34fb,electric flux density (coulomb per square metre)
0000274f-0000-1000-8000-00805f9b34fb,permittivity (farad per metre)
00002750-0000-1000-8000-00805f9b34fb,permeability (henry per metre)
00002751-0000-1000-8000-00805f9b34fb,molar energy (joule per mole)
00002752-0000-1000-8000-00805f9b34fb,molar entropy (joule per mole kelvin)
00002753-0000-1000-8000-00805f9b34fb,exposure (coulomb per kilogram)
00002754-0000-1000-8000-00805f9b34fb,absorbed dose rate (gray per second)
00002755-0000-1000-8000-00805f9b34fb,radiant intensity (watt per steradian)
00002756-0000-1000-8000-00805f9b34fb,radiance (watt per square metre steradian)
00002757-0000-1000-8000-00805f9b34fb,catalytic activity concentration (katal per cubic metre)
00002760-0000-1000-8000-00805f9b34fb,time (minute)
00002761-0000-1000-8000-00805f9b34fb,time (hour)
00002762-0000-1000-8000-00805f9b34fb,time (day)
00002763-0000-1000-8000-00805f9b34fb,plane angle (degree)
00002764-0000-1000-8000-00805f9b34fb,plane angle (minute)
00002765-0000-1000-8000-00805f9b34fb,plane angle (second)
00002766-0000-1000-8000-00805f9b34fb,area (hectare)
00002767-0000-1000-8000-00805f9b34fb,volume (litre)
00002768-0000-1000-8000-00805f9b34fb,mass (tonne)
00002780-0000-1000-8000-00805f9b34fb,pressure (bar)
00002781-0000-1000-8000-00805f9b34fb,pressure (millimetre of mercury)
00002782-0000-1000-8000-00805f9b34fb,length (angstrom)
00002783-0000-1000-8000-00805f9b34fb,length (nautical mile)
00002784-0000-1000-8000-00805f9b34fb,area (barn)
00002785-0000-1000-8000-00805f9b34fb,velocity (knot)
00002786-0000-1000-8000-00805f9b34fb,logarithmic radio quantity (neper)
00002787-0000-1000-8000-00805f9b34fb,logarithmic radio quantity (bel)
000027a0-0000-1000-8000-00805f9b34fb,length (yard)
000027a1-0000-1000-8000-00805f9b34fb,length (parsec)
000027a2-0000-1000-8000-00805f9b34fb,length (inch)
000027a3-0000-1000-8000-00805f9b34fb,length (foot)
000027a4-0000-1000-8000-00805f9b34fb,length (mile)
000027a5-0000-1000-8000-00805f9b34fb,pressure (pound-force per square inch)
000027a6-0000-1000-8000-00805f9b34fb,velocity (kilometre per hour)
000027a7-0000-1000-8000-00805f9b34fb,velocity (mile per hour)
000027a8-0000-1000-8000-00805f9b34fb,angular velocity (revolution per minute)
000027a9-0000-1000-8000-00805f9b34fb,energy (gram calorie)
000027aa-0000-1000-8000-00805f9b34fb,energy (kilogram calorie)
000027ab-0000-1000-8000-00805f9b34fb,energy (kilowatt hour)
000027ac-0000-1000-8000-00805f9b34fb,thermodynamic temperature (degree Fahrenheit)
000027ad-0000-1000-8000-00805f9b34fb,percentage
000027ae-0000-1000-8000-00805f9b34fb,per mille
000027af-0000-1000-8000-00805f9b34fb,period (beats per minute)
000027b0-0000-1000-8000-00805f9b34fb,electric charge (ampere hours)
000027b1-0000-1000-8000-00805f9b34fb,mass density (milligram per decilitre)
000027b2-0000-1000-8000-00805f9b34fb,mass density (millimole per litre)
000027b3-0000-1000-8000-00805f9b34fb,time (year)
000027b4-0000-1000-8000-00805f9b34fb,time (month)
000027b5-0000-1000-8000-00805f9b34fb,concentration (count per cubic metre)
000027b6-0000-1000-8000-00805f9b34fb,irradiance (watt per square metre)
000027b7-0000-1000-8000-00805f9b34fb,milliliter (per kilogram per minute)
000027b8-0000-1000-8000-00805f9b34fb,mass (pound)
00002800-0000-1000-8000-00805f9b34fb,GATT Primary Service Declaration
00002801-0000-1000-8000-00805f9b34fb,GATT Secondary Service Declaration
00002802-0000-1000-8000-00805f9b34fb,GATT Include Declaration
00002803-0000-1000-8000-00805f9b34fb,GATT Characteristic Declaration
00002900-0000-1000-8000-00805f9b34fb,Characteristic Extended Properties
00002901-0000-1000-8000-00805f9b34fb,Characteristic User Description
00002902-0000-1000-8000-00805f9b34fb,GC_V2_COMMANDTYPE4
00002903-0000-1000-8000-00805f9b34fb,Server Characteristic Configuration
00002904-0000-1000-8000-00805f9b34fb,Characteristic Presentation Format
00002905-0000-1000-8000-00805f9b34fb,Characteristic Aggregate Format
00002906-0000-1000-8000-00805f9b34fb,Valid Range
00002907-0000-1000-8000-00805f9b34fb,External Report Reference
00002908-0000-1000-8000-00805f9b34fb,Report Reference
00002909-0000-1000-8000-00805f9b34fb,Number of Digits
0000290a-0000-1000-8000-00805f9b34fb,Trigger Setting
0000290b-0000-1000-8000-00805f9b34fb,Environmental Sensing Configuration
0000290c-0000-1000-8000-00805f9b34fb,Environmental Sensing Measurement
0000290d-0000-1000-8000-00805f9b34fb,Environmental Sensing Trigger Setting
00002a00-0000-1000-8000-00805f9b34fb,Device Name
00002a01-0000-1000-8000-00805f9b34fb,Appearance
00002a02-0000-1000-8000-00805f9b34fb,Peripheral Privacy Flag
00002a03-0000-1000-8000-00805f9b34fb,Reconnection Address
00002a04-0000-1000-8000-00805f9b34fb,Peripheral Preferred Connection Parameters
00002a05-0000-1000-8000-00805f9b34fb,Service Changed
00002a06-0000-1000-8000-00805f9b34fb,Alert Level
00002a07-0000-1000-8000-00805f9b34fb,Tx Power Level
00002a08-0000-1000-8000-00805f9b34fb,Date Time
00002a09-0000-1000-8000-00805f9b34fb,Day of Week
00002a0a-0000-1000-8000-00805f9b34fb,Day Date Time
00002a0b-0000-1000-8000-00805f9b34fb,Exact Time 100
00002a0c-0000-1000-8000-00805f9b34fb,Exact Time 256
00002a0d-0000-1000-8000-00805f9b34fb,DST Offset
00002a0e-0000-1000-8000-00805f9b34fb,Time Zone
00002a0f-0000-1000-8000-00805f9b34fb,Local Time Information
00002a10-0000-1000-8000-00805f9b34fb,Secondary Time Zone
00002a11-0000-1000-8000-00805f9b34fb,Time with DST
00002a12-0000-1000-8000-00805f9b34fb,Time Accuracy
00002a13-0000-1000-8000-00805f9b34fb,Time Source
00002a14-0000-1000-8000-00805f9b34fb,Reference Time Information
00002a15-0000-1000-8000-00805f9b34fb,Time Broadcast
00002a16-0000-1000-8000-00805f9b34fb,Time Update Control Point
00002a17-0000-1000-8000-00805f9b34fb,Time Update State
00002a18-0000-1000-8000-00805f9b34fb,Glucose Measurement
00002a19-0000-1000-8000-00805f9b34fb,Battery Level
00002a1a-0000-1000-8000-00805f9b34fb,Battery Power State
00002a1b-0000-1000-8000-00805f9b34fb,Battery Level State
00002a1c-0000-1000-8000-00805f9b34fb,Temperature Measurement
00002a1d-0000-1000-8000-00805f9b34fb,Temperature Type
00002a1e-0000-1000-8000-00805f9b34fb,Intermediate Temperature
00002a1f-0000-1000-8000-00805f9b34fb,Temperature Celsius
00002a20-0000-1000-8000-00805f9b34fb,Temperature Fahrenheit
00002a21-0000-1000-8000-00805f9b34fb,Measurement Interval
00002a22-0000-1000-8000-00805f9b34fb,Boot Keyboard Input Report
00002a23-0000-1000-8000-00805f9b34fb,System ID
00002a24-0000-1000-8000-00805f9b34fb,Model Number String
00002a25-0000-1000-8000-00805f9b34fb,Serial Number String
00002a26-0000-1000-8000-00805f9b34fb,GC_FW_REVISION
00002a27-0000-1000-8000-00805f9b34fb,Hardware Revision String
00002a28-0000-1000-8000-00805f9b34fb,Software Revision String
00002a29-0000-1000-8000-00805f9b34fb,Manufacturer Name String
00002a2a-0000-1000-8000-00805f9b34fb,IEEE 11073-20601 Regulatory
00002a2b-0000-1000-8000-00805f9b34fb,Current Time
00002a2c-0000-1000-8000-00805f9b34fb,Elevation
00002a2d-0000-1000-8000-00805f9b34fb,Latitude
00002a2e-0000-1000-8000-00805f9b34fb,Longitude
00002a2f-0000-1000-8000-00805f9b34fb,Position 2D
00002a30-0000-1000-8000-00805f9b34fb,Position 3D
00002a31-0000-1000-8000-00805f9b34fb,Scan Refresh
00002a32-0000-1000-8000-00805f9b34fb,Boot Keyboard Output Report
00002a33-0000-1000-8000-00805f9b34fb,Boot Mouse Input Report
00002a34-0000-1000-8000-00805f9b34fb,Glucose Measurement Context
00002a35-0000-1000-8000-00805f9b34fb,Blood Pressure Measurement
00002a36-0000-1000-8000-00805f9b34fb,Intermediate Cuff Pressure
00002a37-0000-1000-8000-00805f9b34fb,Heart Rate Measurement
00002a38-0000-1000-8000-00805f9b34fb,Body Sensor Location
00002a39-0000-1000-8000-00805f9b34fb,Heart Rate Control Point
00002a3a-0000-1000-8000-00805f9b34fb,Removable
00002a3b-0000-1000-8000-00805f9b34fb,Service Required
00002a3c-0000-1000-8000-00805f9b34fb,Scientific Temperature Celsius
00002a3d-0000-1000-8000-00805f9b34fb,String
00002a3e-0000-1000-8000-00805f9b34fb,Network Availability
00002a3f-0000-1000-8000-00805f9b34fb,Alert Status
00002a40-0000-1000-8000-00805f9b34fb,Ringer Control Point
00002a41-0000-1000-8000-00805f9b34fb,Ringer Setting
00002a42-0000-1000-8000-00805f9b34fb,Alert Category ID Bit Mask
00002a43-0000-1000-8000-00805f9b34fb,Alert Category ID
00002a44-0000-1000-8000-00805f9b34fb,Alert Notification Control Point
00002a45-0000-1000-8000-00805f9b34fb,Unread Alert Status
00002a46-0000-1000-8000-00805f9b34fb,New Alert
00002a47-0000-1000-8000-00805f9b34fb,Supported New Alert Category
00002a48-0000-1000-8000-00805f9b34fb,Supported Unread Alert Category
00002a49-0000-1000-8000-00805f9b34fb,Blood Pressure Feature
00002a4a-0000-1000-8000-00805f9b34fb,HID Information
00002a4b-0000-1000-8000-00805f9b34fb,HID Report Map
00002a4c-0000-1000-8000-00805f9b34fb,HID Control Point
00002a4e-0000-1000-8000-00805f9b34fb,Protocol Mode
00002a4f-0000-1000-8000-00805f9b34fb,Scan Interval Windows
00002a50-0000-1000-8000-00805f9b34fb,PNPID
00002a51-0000-1000-8000-00805f9b34fb,Glucose Feature
00002a52-0000-1000-8000-00805f9b34fb,Glucose RACP
00002a53-0000-1000-8000-00805f9b34fb,RSC Measurement
00002a54-0000-1000-8000-00805f9b34fb,RSC Feature
00002a55-0000-1000-8000-00805f9b34fb,SC_CONTROL_POINT
00002a56-0000-1000-8000-00805f9b34fb,Digital Input
00002a57-0000-1000-8000-00805f9b34fb,Digital Output
00002a58-0000-1000-8000-00805f9b34fb,Analog Input
00002a59-0000-1000-8000-00805f9b34fb,Analog Output
00002a5A-0000-1000-8000-00805f9b34fb,Aggregate Input
00002a5b-0000-1000-8000-00805f9b34fb,CSC_MEASUREMENT
00002a5c-0000-1000-8000-00805f9b34fb,CSC_FEATURE
00002a5d-0000-1000-8000-00805f9b34fb,SENSOR_LOCATION
00002a5f-0000-1000-8000-00805f9b34fb,Oximetry Continuous Measure Temp
00002a60-0000-1000-8000-00805f9b34fb,Oximetry Pulsatile Event Temp
00002a61-0000-1000-8000-00805f9b34fb,Oximetry Feature Temp
00002a62-0000-1000-8000-00805f9b34fb,Oximetry Control Point Temp
00002a63-0000-1000-8000-00805f9b34fb,Cycling Power Measurement
00002a64-0000-1000-8000-00805f9b34fb,Cycling Power Vector
00002a65-0000-1000-8000-00805f9b34fb,Cycling Power Feature
00002a66-0000-1000-8000-00805f9b34fb,Cycling Power Control Point
00002a67-0000-1000-8000-00805f9b34fb,Location and Speed
00002a68-0000-1000-8000-00805f9b34fb,Navigation
00002a69-0000-1000-8000-00805f9b34fb,Position Quality
00002a6a-0000-1000-8000-00805f9b34fb,LN Feature
00002a6b-0000-1000-8000-00805f9b34fb,LN Control Point
00002a6c-0000-1000-8000-00805f9b34fb,Elevation
00002a6d-0000-1000-8000-00805f9b34fb,Pressure
00002a6f-0000-1000-8000-00805f9b34fb,Humidity
00002a72-0000-1000-8000-00805f9b34fb,Apparent Wind Speed
00002a73-0000-1000-8000-00805f9b34fb,Apparent Wind Direction?
00002a74-0000-1000-8000-00805f9b34fb,Gust Factor
00002a75-0000-1000-8000-00805f9b34fb,Pollen Concentration
00002a77-0000-1000-8000-00805f9b34fb,Irradiance
00002a7a-0000-1000-8000-00805f9b34fb,Heat Index
00002a7b-0000-1000-8000-00805f9b34fb,Dew Point
00002a7d-0000-1000-8000-00805f9b34fb,Descriptor Value Changed
00002a7e-0000-1000-8000-00805f9b34fb,Aerobic Heart Rate Lower Limit
00002a7f-0000-1000-8000-00805f9b34fb,Aerobic Threshold
00002a80-0000-1000-8000-00805f9b34fb,Age
00002a81-0000-1000-8000-00805f9b34fb,Anaerobic Heart Rate Lower Limit
00002a82-0000-1000-8000-00805f9b34fb,Anaerobic Heart Rate Upper Limit
00002a83-0000-1000-8000-00805f9b34fb,Anaerobic Threshold
00002a84-0000-1000-8000-00805f9b34fb,Aerobic Heart Rate Upper Limit
00002a85-0000-1000-8000-00805f9b34fb,Date of Birth
00002a86-0000-1000-8000-00805f9b34fb,Date of Threshold Assessment
00002a87-0000-1000-8000-00805f9b34fb,Email Address
00002a88-0000-1000-8000-00805f9b34fb,Fat Burn Heart Rate Lower Limit
00002a89-0000-1000-8000-00805f9b34fb,Fat Burn Heart Rate Upper Limit
00002a8a-0000-1000-8000-00805f9b34fb,First Name
00002a8b-0000-1000-8000-00805f9b34fb,Five Zone Heart Rate Limits
00002a8c-0000-1000-8000-00805f9b34fb,Gender
00002a8d-0000-1000-8000-00805f9b34fb,Heart Rate Max
00002a8e-0000-1000-8000-00805f9b34fb,Height
00002a8f-0000-1000-8000-00805f9b34fb,Hip Circumference
00002a90-0000-1000-8000-00805f9b34fb,Last Name
00002a91-0000-1000-8000-00805f9b34fb,Maximum Recommended Heart Rate
00002a99-0000-1000-8000-00805f9b34fb,Database Change Increment
00002a9b-0000-1000-8000-00805f9b34fb,Body Composition Feature
00002a9c-0000-1000-8000-00805f9b34fb,Body Composition Measurement
00002aa0-0000-1000-8000-00805f9b34fb,Magnetic Flux Density - 2D
00002aa1-0000-1000-8000-00805f9b34fb,Magnetic Flux Density - 3D
00002aa2-0000-1000-8000-00805f9b34fb,Language
00002aa3-0000-1000-8000-00805f9b34fb,Barometric Pressure Trend
00002aa4-0000-1000-8000-00805f9b34fb,Bond Management Control Point
00002aa5-0000-1000-8000-00805f9b34fb,Bond Management Feature
00002aa6-0000-1000-8000-00805f9b34fb,Central Address Resolution
00002aa7-0000-1000-8000-00805f9b34fb,CGM Measurement
00002aa8-0000-1000-8000-00805f9b34fb,CGM Feature
00002aa9-0000-1000-8000-00805f9b34fb,CGM Status
00002aaa-0000-1000-8000-00805f9b34fb,CGM Session Start Time
00002aab-0000-1000-8000-00805f9b34fb,CGM Session Run Time
00002aac-0000-1000-8000-00805f9b34fb,CGM Specific Ops Control Point
00005555-0000-1000-8000-00805f9b34fb,UNSCANNABLE_UUID
00005678-0000-1000-8000-00805f9b34fb,GC_V2_COMMANDTYPE0
00006666-0000-1000-8000-00805f9b34fb,SCANNABLE_UUID
00007777-0000-1000-8000-00805f9b34fb,SCAN_RESP_UUID
00008888-0000-1000-8000-00805f9b34fb,POWER_LEVEL_UUID
00009999-0000-1000-8000-00805f9b34fb,PRIVACY_MAC_UUID
0000a000-0000-1000-8000-00805f9b34fb,GC_SERVICE
0000a101-0000-1000-8000-00805f9b34fb,GC_BOOT_UP_READY
0000a102-0000-1000-8000-00805f9b34fb,GC_HW_STATUS
0000a104-0000-1000-8000-00805f9b34fb,GC_NAME
0000a105-0000-1000-8000-00805f9b34fb,GC_PSW_ACTION
0000a106-0000-1000-8000-00805f9b34fb,GC_PSW_VERIFY
0000a107-0000-1000-8000-00805f9b34fb,GC_BOOT_UP_GC
0000a108-0000-1000-8000-00805f9b34fb,GC_ALL_FW_VERSION
